Destination,Origin,flow2000,flow2005,flow2010,flow2015,flow2019,increase_rate_2000_2005,increase_rate_2005_2010,increase_rate_2010_2015,increase_rate_2015_2019
Japan,Italy,1579.0,2576.0,2731.0,3536.0,4010.0,63.14122862571247,6.017080745341615,29.47638227755401,13.404977375565611
Japan,Republic of Korea,635194.0,532475.0,565989.0,457772.0,475166.0,-16.171279955415198,6.29400441335274,-19.119982897194117,3.799708151656283
Japan,Singapore,1940.0,2369.0,2512.0,2444.0,2735.0,22.11340206185567,6.036302237230899,-2.7070063694267517,11.90671031096563
Japan,United States of America,44859.0,47789.0,50667.0,52271.0,56321.0,6.53157671816135,6.022306388499445,3.1657686462589063,7.748082110539305
Republic of Korea,China,92142.0,243217.0,490407.0,609332.0,620295.0,163.95888954005773,101.63352068317593,24.250265595719476,1.7991833680161224
Republic of Korea,France,1647.0,1467.0,1869.0,2322.0,2363.0,-10.92896174863388,27.402862985685072,24.23756019261637,1.7657192075796728
Republic of Korea,Germany,1208.0,1106.0,1442.0,1791.0,1823.0,-8.443708609271523,30.37974683544304,24.20249653259362,1.786711334450028
Republic of Korea,Iran (Islamic Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,Japan,15744.0,14133.0,18100.0,22489.0,22893.0,-10.232469512195122,28.069058232505483,24.248618784530386,1.7964338120859087
Republic of Korea,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,United States of America,25592.0,33075.0,53619.0,66621.0,67819.0,29.239606126914662,62.11337868480725,24.248867006098585,1.7982317887753112
Singapore,China,250198.0,299651.0,365797.0,448566.0,380145.0,19.76554568781525,22.07434648974974,22.627030839509345,-15.253273765733471
Singapore,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Iran (Islamic Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,United States of America,4858.0,9340.0,14344.0,17161.0,14543.0,92.260189378345,53.57601713062099,19.63887339654211,-15.255521240020977
United States of America,China,1348465.0,1607654.0,1922950.0,2676697.0,2899267.0,19.22104021980548,19.612180232811287,39.19743103044801,8.315098795268945
United States of America,France,154992.0,155257.0,160300.0,173561.0,189395.0,0.17097656653246618,3.248162723741925,8.272613849033062,9.123017267704151
United States of America,Germany,724649.0,682498.0,660214.0,585298.0,563411.0,-5.8167471424096355,-3.265064513009562,-11.347229837598112,-3.739462632710175
United States of America,Iran (Islamic Republic of),290417.0,314199.0,348249.0,394223.0,403136.0,8.188914560786731,10.837080958246208,13.201473658215818,2.2609030929194898
United States of America,Italy,485357.0,438874.0,404664.0,352492.0,340419.0,-9.577074194870992,-7.794947980513769,-12.892671450882709,-3.425042270462876
United States of America,Japan,356364.0,355980.0,366522.0,335767.0,351166.0,-0.10775499208674276,2.9614023259733693,-8.391037918596973,4.586216036715937
United States of America,Republic of Korea,886067.0,990111.0,1127266.0,1060019.0,1083794.0,11.742227167922968,13.852487246379447,-5.965495277955691,2.2428843256583137
United States of America,Singapore,21289.0,24653.0,28863.0,36132.0,39018.0,15.801587674385834,17.077029164807527,25.18449225652219,7.987379608103621
