Country,Region,UN_Region,Influenza2005,Influenza2006,Influenza2007,Influenza2008,Influenza2009,Influenza2010,Influenza2011,Influenza2012,Influenza2013,Influenza2014,Influenza2015,Influenza2016,Influenza2017,Influenza2018,Influenza2019
Andorra,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,571.0,34.0,113.0,75.0,0.0,4.0,0.0,0.0,0.0
Croatia,Southern Europe,Europe and Northern America,0.0,17.0,86.0,152.0,1707.0,217.0,1598.0,729.0,1291.0,693.0,1219.0,1856.0,1796.0,2597.0,4823.0
Gibraltar,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Southern Europe,Europe and Northern America,236.0,131.0,290.0,222.0,7883.0,1089.0,5394.0,470.0,458.0,946.0,1144.0,1765.0,756.0,434.0,822.0
Holy See,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Southern Europe,Europe and Northern America,878.0,165.0,347.0,210.0,10249.0,305.0,2856.0,1243.0,1589.0,808.0,3618.0,3231.0,2796.0,4382.0,6361.0
Malta,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,37.0,43.0,79.0,64.0,298.0,54.0,87.0,541.0,505.0,880.0,838.0
Montenegro,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,4.0,266.0,508.0
North Macedonia,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,2.0,47.0,25.0,270.0,432.0
Portugal,Southern Europe,Europe and Northern America,417.0,157.0,306.0,365.0,1700.0,300.0,138.0,197.0,1099.0,1303.0,1368.0,3155.0,1286.0,3984.0,6634.0
San Marino,Southern Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,Southern Europe,Europe and Northern America,0.0,0.0,48.0,54.0,676.0,78.0,407.0,102.0,274.0,136.0,428.0,825.0,150.0,831.0,1876.0
Slovenia,Southern Europe,Europe and Northern America,113.0,122.0,275.0,263.0,2705.0,99.0,1180.0,1050.0,1911.0,1804.0,3812.0,2254.0,3906.0,3020.0,3576.0
Spain,Southern Europe,Europe and Northern America,63.0,667.0,398.0,916.0,9270.0,1238.0,3887.0,5679.0,4917.0,7134.0,8939.0,12963.0,12766.0,19973.0,17232.0
Benin,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,103.0,105.0,3.0,52.0,55.0,236.0,107.0
Cabo Verde,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,344.0,214.0,417.0,261.0,351.0,212.0,287.0,360.0,337.0,262.0,458.0
Gambia,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,61.0,410.0,1171.0,396.0,535.0,248.0,292.0,416.0,711.0,469.0,742.0,1172.0
Guinea,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,135.0
Guinea-Bissau,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,149.0,104.0,51.0,77.0,0.0,0.0,107.0,165.0,144.0,235.0
Mauritania,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,27.0,51.0
Niger,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,20.0,68.0,50.0,32.0,38.0,40.0,47.0,114.0,117.0,83.0,144.0
Nigeria,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,194.0,251.0,161.0,188.0,95.0,115.0,71.0,4.0,77.0,89.0
Saint Helena,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,Western Africa,Sub_Saharan Africa,13.0,20.0,38.0,131.0,1827.0,991.0,1163.0,1607.0,463.0,268.0,580.0,62.0,820.0,480.0,483.0
Sierra Leone,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,60.0,78.0,6.0,3.0,0.0,0.0,17.0,10.0,22.0
Togo,Western Africa,Sub_Saharan Africa,0.0,0.0,0.0,0.0,0.0,28.0,90.0,119.0,56.0,52.0,131.0,225.0,233.0,254.0,501.0
Armenia,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,6.0,37.0,1.0,47.0,28.0,107.0,723.0,197.0,322.0,399.0
Azerbaijan,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,72.0,0.0,397.0,41.0,67.0,170.0
Bahrain,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,23.0,69.0,98.0,120.0,663.0,135.0,89.0,202.0,197.0
Cyprus,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,151.0,150.0,628.0
Georgia,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,983.0,168.0,885.0,177.0,252.0,133.0,138.0,358.0,78.0,111.0,189.0
Iraq,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,1715.0,9.0,322.0,8.0,822.0,6.0,447.0,232.0,40.0,293.0,400.0
Israel,Western Asia,Northern Africa and Western Asia,206.0,220.0,206.0,293.0,7515.0,537.0,1193.0,562.0,1376.0,1067.0,1100.0,1861.0,1145.0,1602.0,1796.0
Jordan,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,82.0,160.0,64.0,254.0,87.0,634.0,468.0,252.0,273.0,366.0
Kuwait,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4379.0,1931.0,6601.0
Lebanon,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,190.0,96.0,123.0,262.0
Oman,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,69.0,18.0,658.0,613.0,283.0,185.0,1003.0,1560.0,1069.0,3024.0,1388.0,1376.0
Qatar,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,339.0,605.0,1305.0,3192.0,4773.0,3162.0,7548.0,11450.0,8365.0
Saudi Arabia,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1179.0,2423.0
State of Palestine,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Western Asia,Northern Africa and Western Asia,28.0,193.0,66.0,1.0,7638.0,168.0,2936.0,1544.0,2568.0,1488.0,2204.0,8242.0,1569.0,1653.0,1433.0
United Arab Emirates,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,Western Asia,Northern Africa and Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
Austria,Western Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,18.0,916.0,806.0,2748.0,1281.0,2519.0,2260.0,2071.0,5143.0,4097.0
Belgium,Western Europe,Europe and Northern America,799.0,0.0,51.0,821.0,2259.0,218.0,539.0,563.0,773.0,288.0,503.0,362.0,299.0,343.0,287.0
France,Western Europe,Europe and Northern America,1436.0,800.0,1082.0,1860.0,27033.0,2003.0,6649.0,7762.0,21288.0,11852.0,29021.0,26721.0,15657.0,21610.0,25405.0
Germany,Western Europe,Europe and Northern America,1164.0,650.0,1319.0,656.0,3367.0,189.0,1771.0,716.0,1799.0,418.0,1770.0,1510.0,1478.0,2334.0,1215.0
Liechtenstein,Western Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Western Europe,Europe and Northern America,0.0,50.0,232.0,477.0,1268.0,56.0,633.0,284.0,366.0,139.0,486.0,476.0,166.0,1038.0,357.0
Monaco,Western Europe,Europe and Northern America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Western Europe,Europe and Northern America,0.0,0.0,0.0,50.0,3454.0,148.0,933.0,716.0,2536.0,705.0,2997.0,3831.0,3428.0,2836.0,5166.0
Switzerland,Western Europe,Europe and Northern America,293.0,233.0,495.0,348.0,2135.0,252.0,1665.0,435.0,3097.0,1788.0,6226.0,6085.0,9842.0,11918.0,14096.0
